"stockid","stocklong"
"ANCHMEDGSA6","Anchovy Northern Spain"
"ANCHOBAYB","Anchovy ICES VIII"
"BLINGVb-VI-VII","Blue ling Vb-VI-VII"
"BWHITNEA","Blue Whiting Northeast Atlantic"
"CAPEIIa-V-XIV","Capelin IIa-V-XIV"
"COD1IN","Atlantic cod NAFO Subarea 1 (inshore)"
"COD3Ps","Atlantic cod NAFO 3Ps"
"CODBA2224","Atlantic cod Baltic Areas 22 and 24"
"CODBA2532","Atlantic cod Baltic Areas 25-32"
"CODFAPL","Atlantic cod Faroe Plateau"
"CODICE","Atlantic cod Iceland"
"CODIf-XIV","Atlantic cod ICES If-XIV"
"CODIIIaW-IV-VIId","Atlantic cod IIIa (west) and IV-VIId"
"CODIS","Atlantic cod Irish Sea"
"CODNEAR","Atlantic cod Northeast Arctic"
"CODNEARNCW","Atlantic cod Northeast Arctic (Norwegian coastal waters)"
"CODVIIek","Atlantic Cod Celtic Sea"
"CUSKVa-XIV","Tusk Va and XIV"
"DOYSFS","Dredge oyster Foveax Strait"
"EBASSIVbc-VII","European seabass IVbc and VII"
"FMEG8c9a","Fourspotted megrim ICES VIIIc-IXa"
"GOLDREDV-VI-XII-XIV","Golden Redfish V-VI-XII-XIV"
"HADFAPL","Haddock Faroe Plateau"
"HADICE","Haddock Iceland"
"HADIS","Haddock Irish Sea"
"HADNEAR","Haddock Northeast Arctic"
"HADNS-IIIa-VIa","Haddock North Sea and IIIa-VIa"
"HADROCK","Haddock Rockall Bank"
"HADVIIb-k","Haddock ICES VIIb-k"
"HAKENRTN","Hake Northeast Atlantic North"
"HAKESOTH","Hake Northeast Atlantic South"
"HERR2529-32","Herring Subdivisions 25-29 and 32"
"HERR30-31","Herring Subdivisions 30-31"
"HERRIsum","Herring Iceland (Summer spawners)"
"HERRNIRS","Herring Northern Irish Sea"
"HERRNORSS","Norwegian Spring Spawning Herring"
"HERRNS-IIIa-VIId","Herring IIIa, VIId and North Sea"
"HERRSIRS","Herring ICES VIIa-g-h-j"
"HERRVIa","Herring ICES VIa"
"HERRVIaVIIbc","Herring ICES VIa-VIIb-VIIc"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII"
"HMACKIXa","Horse mackerel Portugese Waters -East"
"LINGVa","Ling Iceland Grounds"
"MACKNEICES","Mackerel ICES Northeast Atlantic"
"MEG8c9a","Megrim ICES VIIIc-IXa"
"MEGVII-VIIIabd","Megrim VII-VIIIabd"
"MENATGM","Gulf menhaden Gulf of Mexico"
"MENATLAN","Atlantic menhaden Atlantic"
"NEPHFU14","Norway lobster Irish Sea East (FU 14)"
"NEPHFU17","Norway lobster Aran Grounds (FU 17)"
"NEPHFU7","Norway lobster Fladen Ground (FU 7)"
"NEPHMEDGSA17-18","Norway lobster Adriatic Sea"
"NPOUTIIIa-IV","Norway pout IIIa and North Sea"
"NSHRIMPCSCH","Nylon shrimp Central-Southern Chile"
"NSHRIMPNCH","Nylon shrimp Northern Chile"
"PANCHCCH","Peruvian Anchoveta Central Chile"
"PANCHCSCH","Peruvian Anchoveta Central-Southern Chile"
"PANCHNCHSP","Peruvian Anchoveta Northern Chile Southern Peru"
"PCEELARGS","Pink Cusk-eel Southern Argentina"
"PLAIC2123","European Plaice Subdivisions 21-23"
"PLAIC7d","European Plaice ICES VIId"
"PLAICECHW","European Plaice ICES VIIe"
"PLAICIS","European Plaice Irish Sea"
"PLAICNS","European Plaice North Sea"
"POLLFAPL","Pollock Faroe Plateau"
"POLLIEG","Pollock Iceland Grounds"
"POLLNEAR","Pollock Northeast Arctic"
"POLLNS-VI-IIIa","Pollock ICES IIIa, VI and North Sea"
"REDDEEPDP-1-2-V-XII-XIV","Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep)"
"SARDPVIIIc-IXa","European pilchard ICES VIIIc-IXa"
"SBWHITARGS","Southern blue whiting Southern Argentina"
"SCALLGB","Sea scallop Georges Bank"
"SEELNSSA1","Sand eel SA 1"
"SEELNSSA2","Sand eel SA 2"
"SEELNSSA3","Sand eel SA 3"
"SEELNSSA4","Sand eel Sandeel Area 4"
"SOLECS","Common sole Celtic Sea"
"SOLEIIIa-2224","Common sole 22-24-IIIa"
"SOLEIS","Common sole Irish Sea"
"SOLENS","Common sole North Sea"
"SOLEVIId","Common sole ICES VIId"
"SOLEVIIe","Common sole Western English Channel"
"SOLEVIIIab","Common sole VIIIab"
"SPRAT22-32","Sprat ICES Baltic Areas 22-32"
"SPRATNS","Sprat North Sea"
"SPURDNEATL","Spurdog Northeast Atlantic"
"SSARDCH","Southern sardine Chile"
"SSLOBSTERSASC","Southern spiny lobster South Africa South coast"
"STRIPEDBASSGOMCHATT","Striped bass Gulf of Maine / Cape Hatteras"
"WANGLVII-VIIIabd","White anglerfish VII and VIIIabd"
"WANGLVIIIc-IXa","White anglerfish VIIIc-IXa"
"WHITNS-VIId","Whiting NS-VIId"
"WHITVIa","Whiting ICES VIa"
"WHITVIIa","Whiting Irish Sea"
"WHITVIIek","Whiting ICES VIIe-k"
"WPOLLWBS","Walleye pollock Western Bering Sea"
