habitat,code,cat,subcat1,subcat2,include
NA,1.1,1,1,NA,FALSE
NA,1.2,1,2,NA,FALSE
NA,1.3,1,3,NA,FALSE
NA,1.4,1,4,NA,FALSE
NA,1.5,1,5,NA,FALSE
NA,1.6,1,6,NA,FALSE
NA,1.7,1,7,NA,FALSE
NA,1.8,1,8,NA,FALSE
NA,1.9,1,9,NA,FALSE
NA,2.1,2,1,NA,FALSE
NA,2.2,2,2,NA,FALSE
NA,3.1,3,1,NA,FALSE
NA,3.2,3,2,NA,FALSE
NA,3.3,3,3,NA,FALSE
NA,3.4,3,4,NA,FALSE
NA,3.5,3,5,NA,FALSE
NA,3.6,3,6,NA,FALSE
NA,3.7,3,7,NA,FALSE
NA,3.8,3,8,NA,FALSE
NA,4.1,4,1,NA,FALSE
NA,4.2,4,2,NA,FALSE
NA,4.3,4,3,NA,FALSE
NA,4.4,4,4,NA,FALSE
NA,4.5,4,5,NA,FALSE
NA,4.6,4,6,NA,FALSE
NA,4.7,4,7,NA,FALSE
NA,5.1,5,1,NA,FALSE
NA,5.2,5,2,NA,FALSE
NA,5.3,5,3,NA,FALSE
NA,5.4,5,4,NA,FALSE
NA,5.5,5,5,NA,FALSE
NA,5.6,5,6,NA,FALSE
NA,5.7,5,7,NA,FALSE
NA,5.8,5,8,NA,FALSE
NA,5.9,5,9,NA,FALSE
NA,5.10,5,10,NA,FALSE
NA,5.11,5,11,NA,FALSE
NA,5.12,5,12,NA,FALSE
NA,5.13,5,13,NA,FALSE
NA,5.14,5,14,NA,FALSE
NA,5.15,5,15,NA,FALSE
NA,5.16,5,16,NA,FALSE
NA,5.17,5,17,NA,FALSE
NA,5.18,5,18,NA,FALSE
NA,6,6,NA,NA,FALSE
NA,7.1,7,1,NA,FALSE
NA,7.2,7,2,NA,FALSE
NA,8.1,8,1,NA,FALSE
NA,8.2,8,2,NA,FALSE
NA,8.3,8,3,NA,FALSE
NA,9.1,9,1,NA,TRUE
NA,9.2,9,2,NA,TRUE
NA,9.3,9,3,NA,TRUE
NA,9.4,9,4,NA,TRUE
NA,9.5,9,5,NA,TRUE
NA,9.6,9,6,NA,TRUE
NA,9.7,9,7,NA,TRUE
NA,9.8.1,9,8,1,TRUE
NA,9.8.2,9,8,2,TRUE
NA,9.8.3,9,8,3,TRUE
NA,9.8.4,9,8,4,TRUE
NA,9.8.5,9,8,5,TRUE
NA,9.8.6,9,8,6,TRUE
NA,9.8,9,8,NA,TRUE
NA,9.9,9,9,NA,TRUE
NA,9.10,9,10,NA,TRUE
NA,10.1,10,1,NA,TRUE
NA,10.2,10,2,NA,TRUE
NA,10.3,10,3,NA,TRUE
NA,10.4,10,4,NA,TRUE
NA,11.1.1,11,1,1,TRUE
NA,11.1.2,11,1,2,TRUE
NA,11.1,11,1,NA,TRUE
NA,11.2,11,2,NA,TRUE
NA,11.3,11,3,NA,TRUE
NA,11.4,11,4,NA,TRUE
NA,11.5,11,5,NA,TRUE
NA,11.6,11,6,NA,TRUE
NA,12.1,12,1,NA,TRUE
NA,12.2,12,2,NA,TRUE
NA,12.3,12,3,NA,TRUE
NA,12.4,12,4,NA,TRUE
NA,12.5,12,5,NA,TRUE
NA,12.6,12,6,NA,TRUE
NA,12.7,12,7,NA,TRUE
NA,13.1,13,1,NA,TRUE
NA,13.2,13,2,NA,FALSE
NA,13.3,13,3,NA,FALSE
NA,13.4,13,4,NA,FALSE
NA,13.5,13,5,NA,FALSE
NA,14.1,14,1,NA,FALSE
NA,14.2,14,2,NA,FALSE
NA,14.3,14,3,NA,FALSE
NA,14.4,14,4,NA,FALSE
NA,14.5,14,5,NA,FALSE
NA,14.6,14,6,NA,FALSE
NA,15.1,15,1,NA,FALSE
NA,15.2,15,2,NA,FALSE
NA,15.3,15,3,NA,FALSE
NA,15.4,15,4,NA,FALSE
NA,15.5,15,5,NA,FALSE
NA,15.6,15,6,NA,FALSE
NA,15.7,15,7,NA,FALSE
NA,15.8,15,8,NA,FALSE
NA,15.9,15,9,NA,FALSE
NA,15.10,15,10,NA,FALSE
NA,15.11,15,11,NA,TRUE
NA,15.12,15,12,NA,TRUE
NA,15.13,15,13,NA,TRUE
NA,16,16,NA,NA,FALSE
NA,17,17,NA,NA,TRUE
NA,18,18,NA,NA,TRUE
