"rgn_id","pcgdp_cia"
5,31100
6,2800
7,2100
8,16700
9,3400
10,12200
11,3400
13,32797.3288240126
14,49800
15,8200
16,49900
17,3800
18,9900
19,3800
20,39400
21,1700
24,4000
25,17800
28,1600
31,28700
37,21600
39,19200
40,13000
41,1300
42,1600
43,3500
45,1400
46,3600
47,2300
48,45500
49,4600
50,55300
51,69700
52,51800
53,5400
54,68200
56,6900
59,46300
60,61700
61,11900
62,8600
63,2500
64,4500
65,1700
66,2700
67,9800
68,42500
69,27300
70,31500
71,21600
72,24000
73,27900
74,10600
75,8700
76,26500
77,2900
78,19500
79,36200
80,27800
81,36600
82,12500
84,15100
85,7800
86,7800
88,7800
95,70800
96,1800
97,900
98,1600
99,2200
100,6700
101,11500
102,13400
103,3200
104,34900
106,4600
108,99400
110,25100
111,29100
112,12300
113,43800
114,1800
115,17000
116,37875.0105292164
117,34200
118,12200
119,26800
120,26300
121,34000
122,13500
123,12000
124,17500
125,14700
126,31200
127,11600
129,24300
130,17200
131,5800
132,14500
133,5500
134,8900
135,19500
136,8200
137,11200
138,13300
139,12400
141,40000
143,52100
145,41800
147,17000
151,11200
152,5700
153,16700
154,5800
155,5600
156,1000
161,3800
162,38500
163,59500
164,8300
166,9200
167,8300
168,13900
171,15500
172,20700
173,22400
174,45800
175,49600
176,50200
177,53600
178,29300
179,43600
180,43600
181,72600
182,38200
183,30300
184,38000
185,115700
186,17400
187,23400
188,34100
189,31900
190,124900
191,20000
192,17000
193,1800
194,2000
195,3900
196,5900
197,3400
198,19300
199,800
200,6800
202,3300
203,7200
204,4200
205,6300
206,28900
207,6900
208,90500
209,17276.9082596388
210,42700
212,1900
214,13000
215,12500
216,12400
218,48100
219,46200
220,66800
221,19300
222,51300
223,70600
224,24600
227,56600
228,52500
231,5000
232,11400
244,15000
247,76700
250,25300
